customer_id,product_desc,ranking
457410,Patagonia Bohemian Pilsener-1 Lts-Bottle-RET,7
457410,Budweiser-1 Lts-Bottle-RET,8
460208,Corona-1/2 Lts-Cans,1
460208,Stella Artois Blanche-1/2 Lts-Cans,2
460208,Brahma Dorada-1/2 Lts-Cans,3
460208,Budweiser-1/2 Lts-Cans,4
460208,Quilmes Clasica-1 Lts-Bottle-RET,5
460973,Andes Origen Fresquita-1/2 Lts-Cans,1
460973,Stella Artois Blanche-1/2 Lts-Cans,2
462420,Corona-1/2 Lts-Cans,1
462420,Brahma Dorada-3/4 Lts-Bottle-OW,2
462420,Brahma Dorada-1/2 Lts-Cans,3
462420,Andes Origen Fresquita-1/2 Lts-Cans,4
462420,Michelob Ultra-1/2 Lts-Cans,5
462420,Patagonia Amber Lager-1 Lts-Bottle-RET,6
462420,Corona-3/4 Lts-Bottle-OW,7
462420,Budweiser-1/2 Lts-Cans,8
462420,Budweiser-1 Lts-Bottle-RET,9
462420,Brahma-1/3 Lts-Bottle-RET,10
462420,Andes Origen Rubia-1/2 Lts-Cans,11
462448,Brahma-1/2 Lts-Cans,1
462448,Brahma Dorada-1/2 Lts-Cans,2
462448,Andes Origen Fresquita-1/2 Lts-Cans,3
468204,Stella artois-1/2 Lts-Cans,1
468204,Brahma-1/2 Lts-Cans,2
468204,Quilmes Clasica-1/2 Lts-Cans,3
468204,Andes Origen Roja-1/2 Lts-Cans,4
468204,Andes Origen Rubia-1/2 Lts-Cans,5
468204,Andes Origen IPA-1/2 Lts-Cans,6
468204,Brahma-1 Lts-Bottle-RET,7
468204,Budweiser-1/2 Lts-Cans,8
468204,Quilmes Clasica-1 Lts-Bottle-RET,9
468204,Corona-1/3 Lts-Bottle-OW,10
468204,Budweiser-1 Lts-Bottle-RET,11
468204,Patagonia 24.7-1/2 Lts-Cans,12
684075,Brahma Dorada-1/2 Lts-Cans,1
684075,Brahma-1 Lts-Bottle-RET,2
685628,Brahma-1/2 Lts-Cans,1
685628,Patagonia Weisse-1/2 Lts-Cans,2
685628,1890-1 Lts-Bottle-RET,3
686624,Brahma-1 Lts-Bottle-RET,1
686624,Quilmes Bajo Cero-1 Lts-Bottle-RET,2
686624,Stella artois 0.0%-1/3 Lts-Bottle-OW,3
691288,Andes Origen Fresquita-1/2 Lts-Cans,1
691288,Stella Artois Blanche-1/2 Lts-Cans,2
695989,Stella artois-1 Lts-Bottle-RET,1
695989,Andes Origen IPA-1/2 Lts-Cans,2
695989,Budweiser-1/3 Lts-Bottle-RET,3
695989,Brahma-1 Lts-Bottle-RET,4
695989,Brahma-1/2 Lts-Cans,5
695989,Corona-3/4 Lts-Bottle-OW,6
695989,Stella artois-1/2 Lts-Cans,7
99607,Brahma Dorada-1/2 Lts-Cans,1
99607,Andes Origen Fresquita-1/2 Lts-Cans,2
99607,Quilmes Bajo Cero-1 Lts-Bottle-RET,3
144451,Brahma-1/2 Lts-Cans,1
144451,Quilmes Clasica-1/2 Lts-Cans,2
144451,Quilmes Clasica-1 Lts-Bottle-RET,3
159091,Brahma-1/2 Lts-Cans,1
159091,Patagonia Bohemian Pilsener-20 Lts-Barrel,2
170058,Brahma-1 Lts-Bottle-RET,1
170058,Quilmes Clasica-1 Lts-Bottle-RET,2
182567,Stella Artois Blanche-1/2 Lts-Cans,1
182567,Corona-1/2 Lts-Cans,2
182567,Brahma Dorada-1/2 Lts-Cans,3
182567,Budweiser-1/2 Lts-Cans,4
182567,Stella artois Noire-1/2 Lts-Cans,5
182567,Andes Origen Roja-1/2 Lts-Cans,6
302584,Corona-1/3 Lts-Bottle-OW,1
302584,Brahma-1/2 Lts-Cans,2
313636,Andes Origen Fresquita-1/2 Lts-Cans,1
313636,Corona-1/2 Lts-Cans,2
313636,Stella Artois Blanche-1/2 Lts-Cans,3
317991,Quilmes 0.0-1/2 Lts-Cans,1
317991,Brahma-1/2 Lts-Cans,2
317991,Brahma Dorada-1/2 Lts-Cans,3
317991,Andes Origen Roja-1/2 Lts-Cans,4
317991,Patagonia Amber Lager-3/4 Lts-Bottle-OW,5
322503,Brahma-1 Lts-Bottle-RET,1
322503,Quilmes Clasica-1 Lts-Bottle-RET,2
332031,Brahma-1/2 Lts-Cans,1
332031,Quilmes Clasica-1/2 Lts-Cans,2
332031,Quilmes Clasica-1 Lts-Bottle-RET,3
341316,Brahma-1 Lts-Bottle-RET,1
341316,Stella artois-1 Lts-Bottle-RET,2
341316,Quilmes Clasica-1 Lts-Bottle-RET,3
341660,Brahma-1/2 Lts-Cans,1
341660,Patagonia 24.7-1/3 Lts-Bottle-OW,2
341660,Patagonia Travesia-1/2 Lts-Cans,3
366159,Andes Origen Fresquita-1/2 Lts-Cans,1
366159,Quilmes Ipa-1/2 Lts-Cans,2
366159,Andes Origen Fresquita-1 Lts-Bottle-RET,3
366159,Patagonia Amber Lager-1 Lts-Bottle-RET,4
366159,Brahma-1/2 Lts-Cans,5
366159,Goose Island-1/2 Lts-Cans,6
366159,Brahma-1/3 Lts-Bottle-RET,7
366159,Temple Scottish-1/2 Lts-Cans,8
366159,Patagonia 24.7-1/2 Lts-Cans,9
366159,Patagonia Weisse-3/4 Lts-Bottle-OW,10
366159,Temple Wolf-1/2 Lts-Cans,11
366159,Quilmes Clasica-1/3 Lts-Bottle-RET,12
373377,Brahma-1 Lts-Bottle-RET,1
373377,Andes Origen Criolla-1/2 Lts-Cans,2
376142,Brahma-1/2 Lts-Cans,1
376142,Stella artois-1 Lts-Bottle-RET,2
376142,Quilmes Clasica-1/2 Lts-Cans,3
376142,Quilmes Clasica-1 Lts-Bottle-RET,4
376142,Budweiser-1/2 Lts-Cans,5
381412,Brahma Dorada-1/2 Lts-Cans,1
381412,Andes Origen Roja-1/2 Lts-Cans,2
381412,Stella artois-1/2 Lts-Cans,3
381412,Brahma-1/2 Lts-Cans,4
381412,Quilmes Clasica-1 Lts-Bottle-RET,5
381412,Brahma-1 Lts-Bottle-RET,6
381412,Stella artois-1 Lts-Bottle-RET,7
381412,Brahma-1/3 Lts-Bottle-RET,8
396259,Quilmes Clasica-1 Lts-Bottle-RET,1
396259,Andes Origen Rubia-1 Lts-Bottle-RET,2
396259,Andes Origen IPA Roja-1/2 Lts-Cans,3
396894,Brahma-1 Lts-Bottle-RET,1
396894,Brahma-1/2 Lts-Cans,2
396894,Quilmes Clasica-1/2 Lts-Cans,3
396894,Budweiser-1/2 Lts-Cans,4
396894,Patagonia Amber Lager-1 Lts-Bottle-RET,5
396894,Quilmes Clasica-1 Lts-Bottle-RET,6
397689,Michelob Ultra-1/2 Lts-Cans,1
397689,Brahma-1/2 Lts-Cans,2
397689,Budweiser-1/2 Lts-Cans,3
397689,Goose Island Hazy-1/2 Lts-Cans,4
410421,Stella artois-1/3 Lts-Bottle-OW,1
410421,1890-1/2 Lts-Cans,2
410421,Brahma-1 Lts-Bottle-RET,3
410421,Brahma Dorada-3/4 Lts-Bottle-OW,4
415342,Quilmes Ipa-1/2 Lts-Cans,1
415342,Quilmes 0.0-1/2 Lts-Cans,2
415342,Patagonia 24.7-1/2 Lts-Cans,3
415342,Andes Origen Roja-1 Lts-Bottle-RET,4
